2026-04-30 12:28:20 | INFO    | Episode  1750 | Reward:  -2334.4 | Loss: 51.7562 | Epsilon: 0.733 | Buffer:  50000 | Speed: 7.6 ep/s
2026-04-30 12:28:27 | INFO    | Episode  1800 | Reward:  -2353.6 | Loss: 51.2613 | Epsilon: 0.726 | Buffer:  50000 | Speed: 7.5 ep/s
2026-04-30 12:28:34 | INFO    | Episode  1850 | Reward:  -2333.3 | Loss: 50.4639 | Epsilon: 0.718 | Buffer:  50000 | Speed: 7.5 ep/s
2026-04-30 12:28:40 | INFO    | Episode  1900 | Reward:  -2363.0 | Loss: 51.3741 | Epsilon: 0.711 | Buffer:  50000 | Speed: 7.5 ep/s
2026-04-30 12:28:47 | INFO    | Episode  1950 | Reward:  -2433.0 | Loss: 50.9385 | Epsilon: 0.703 | Buffer:  50000 | Speed: 7.5 ep/s
2026-04-30 12:28:53 | INFO    | Episode  2000 | Reward:  -2397.7 | Loss: 46.9646 | Epsilon: 0.695 | Buffer:  50000 | Speed: 7.6 ep/s
2026-04-30 12:28:55 | INFO    | EVAL @ 2000 | Reward=-3379.1 +/- 804.0 | IS=$739.37 | vs TWAP: -2239.3
2026-04-30 12:29:02 | INFO    | Episode  2050 | Reward:  -2301.0 | Loss: 46.6010 | Epsilon: 0.688 | Buffer:  50000 | Speed: 7.5 ep/s
2026-04-30 12:29:09 | INFO    | Episode  2100 | Reward:  -2396.5 | Loss: 46.7841 | Epsilon: 0.680 | Buffer:  50000 | Speed: 7.5 ep/s
2026-04-30 12:29:15 | INFO    | Episode  2150 | Reward:  -2375.4 | Loss: 46.4151 | Epsilon: 0.673 | Buffer:  50000 | Speed: 7.5 ep/s
2026-04-30 12:29:22 | INFO    | Episode  2200 | Reward:  -2255.4 | Loss: 46.5242 | Epsilon: 0.665 | Buffer:  50000 | Speed: 7.5 ep/s
2026-04-30 12:29:28 | INFO    | Episode  2250 | Reward:  -2287.6 | Loss: 45.0288 | Epsilon: 0.657 | Buffer:  50000 | Speed: 7.5 ep/s
2026-04-30 12:29:35 | INFO    | Episode  2300 | Reward:  -2196.1 | Loss: 42.3557 | Epsilon: 0.650 | Buffer:  50000 | Speed: 7.5 ep/s
2026-04-30 12:29:42 | INFO    | Episode  2350 | Reward:  -2227.3 | Loss: 41.2024 | Epsilon: 0.642 | Buffer:  50000 | Speed: 7.5 ep/s
2026-04-30 12:29:49 | INFO    | Episode  2400 | Reward:  -2250.0 | Loss: 40.9380 | Epsilon: 0.634 | Buffer:  50000 | Speed: 7.5 ep/s
2026-04-30 12:29:56 | INFO    | Episode  2450 | Reward:  -2257.3 | Loss: 39.9919 | Epsilon: 0.627 | Buffer:  50000 | Speed: 7.5 ep/s
2026-04-30 12:30:03 | INFO    | Episode  2500 | Reward:  -2295.8 | Loss: 38.1179 | Epsilon: 0.619 | Buffer:  50000 | Speed: 7.5 ep/s
2026-04-30 12:30:05 | INFO    | EVAL @ 2500 | Reward=-2749.5 +/- 653.1 | IS=$401.95 | vs TWAP: -1609.7
2026-04-30 12:30:12 | INFO    | Episode  2550 | Reward:  -2423.2 | Loss: 36.9009 | Epsilon: 0.612 | Buffer:  50000 | Speed: 7.4 ep/s
2026-04-30 12:30:19 | INFO    | Episode  2600 | Reward:  -2589.5 | Loss: 36.5448 | Epsilon: 0.604 | Buffer:  50000 | Speed: 7.4 ep/s
2026-04-30 12:30:27 | INFO    | Episode  2650 | Reward:  -2536.7 | Loss: 36.1688 | Epsilon: 0.596 | Buffer:  50000 | Speed: 7.4 ep/s
