label,step,mean_inventory,std_inventory,mean_mid,std_mid,n_episodes
Full features,28,3060.008,1154.2566542740828,585.81292,0.17265362318816696,250
Full features,29,2848.12,1136.5620412454393,585.8112199999999,0.1746906168058255,250
Full features,30,2630.476,1092.0728443762353,585.80704,0.1747141619903737,250
Full features,31,2424.912,1027.2245559058642,585.8043999999993,0.1762794372580104,250
Full features,32,2253.884,968.0272178735474,585.8000799999998,0.17889939519182219,250
Full features,33,2100.308,903.172650790534,585.7919000000002,0.17627957907823336,250
Full features,34,1949.388,848.0626895790194,585.7886599999998,0.177943542731952,250
Full features,35,1788.328,763.5552294470915,585.7875199999997,0.1746718340202542,250
Full features,36,1659.044,694.1024089167247,585.7851599999999,0.17220271310290264,250
Full features,37,1527.392,628.138066300714,585.7804400000005,0.17448325535707393,250
Full features,38,1411.528,571.832626925047,585.78062,0.17421973366987065,250
Full features,39,1303.168,536.068909540555,585.7775800000002,0.17725925532958467,250
Full features,40,1226.932,510.3603505132428,585.7777000000001,0.17856598220266223,250
Full features,41,1132.948,485.1030831648053,585.7741199999997,0.18073136307791388,250
Full features,42,1049.9,482.2012795503552,585.7754399999995,0.17911729788046615,250
Full features,43,955.776,455.28333796000044,585.7719400000002,0.1798714440927149,250
Full features,44,885.588,455.64549625339214,585.7710400000001,0.18026735256279927,250
Full features,45,772.284,422.87309129808676,585.7710799999998,0.18187752362510626,250
Full features,46,679.96,398.83507167750423,585.7692200000004,0.1838801011529002,250
Full features,47,583.352,378.4697452848775,585.7655400000001,0.18438603092425382,250
Full features,48,506.184,370.8611682880806,585.7649600000001,0.18391954327912274,250
Full features,49,414.036,328.17258067059765,585.7627599999997,0.18839687470868927,250
Full features,50,0.0,0.0,585.7532,0.1872793635187792,250
No spread_norm,0,12000.0,0.0,586.0226000000001,0.09241774721340004,250
No spread_norm,1,10376.64,354.38045995793885,585.9831400000003,0.09365169726170947,250
No spread_norm,2,9072.096,529.5127333539773,585.9469999999998,0.10131041407476357,250
No spread_norm,3,8055.04,767.0183611883092,585.9073400000003,0.11702317890059252,250
No spread_norm,4,7169.148,916.0207410839565,585.8724600000002,0.13210317331540453,250
No spread_norm,5,6434.996,953.1538280802317,585.8445400000002,0.13506031393418524,250
No spread_norm,6,5805.724,1038.7141049509244,585.8150400000003,0.1419041873941756,250
No spread_norm,7,5176.132,1094.5675249047,585.7918200000003,0.14833943373223202,250
No spread_norm,8,4597.168,1147.9338568820065,585.7625200000001,0.1571453136431427,250
No spread_norm,9,4002.832,1175.6295112730031,585.7370999999999,0.160944369270879,250
No spread_norm,10,3495.796,1187.495958049542,585.7156799999998,0.17126627689070095,250
No spread_norm,11,3002.768,1105.2626231697154,585.6922199999999,0.17752174965338535,250
No spread_norm,12,2551.0,989.1195114848357,585.67536,0.1810747646691844,250
No spread_norm,13,2175.44,876.247329468113,585.6586999999997,0.1872661475013599,250
No spread_norm,14,1823.128,733.388982475194,585.6430799999999,0.19496131308544556,250
No spread_norm,15,1527.256,621.1968886464257,585.6320400000003,0.19589803061797545,250
No spread_norm,16,1260.3,548.2927703335149,585.62194,0.19877710230305248,250
No spread_norm,17,1047.96,502.3209396391912,585.61184,0.1996973069422839,250
No spread_norm,18,832.436,467.4176011919105,585.6058599999998,0.2012286271880811,250
No spread_norm,19,630.336,428.4121182973236,585.5989200000008,0.20054035404376588,250
No spread_norm,20,461.3,380.88971894762403,585.59136,0.20210826405666243,250
