feature,strategy,n_episodes,baseline_mean_is,ablated_mean_is,delta_mean_is,baseline_mean_reward,ablated_mean_reward,delta_mean_reward,action_agreement,mean_action_delta
spread_norm,No spread_norm,250,2447.1986799999477,3354.984240000114,907.7855600001662,-845.5893159039211,-1026.9299820611639,-181.3406661572427,0.036160000000000005,18.395599999999998
book_imbalance,No book_imbalance,250,2447.1986799999477,2488.9239199998306,41.72523999988289,-845.5893159039211,-911.5036960441544,-65.91438014023322,0.41784000000000004,-0.0961599999999998
log_volatility,No log_volatility,250,2447.1986799999477,2406.248359999817,-40.95032000013089,-845.5893159039211,-859.3484939417285,-13.759178037807374,0.4723477551020408,-0.1769123225858067
recent_impact_proxy,No recent_impact_proxy,250,2447.1986799999477,2479.515760000024,32.3170800000762,-845.5893159039211,-844.8779664030787,0.7113495008424024,0.69856,-0.004639999999999755
relative_depth,No relative_depth,250,2447.1986799999477,2473.968199999899,26.76951999995117,-845.5893159039211,-1064.7384175730558,-219.14910166913467,0.3044,-1.4547999999999996
