2026-04-30 12:38:40 | INFO    | Episode  1750 | Reward:  -2898.7 | Loss: 70.3049 | Epsilon: 0.733 | Buffer:  50000 | Speed: 5.8 ep/s
2026-04-30 12:38:49 | INFO    | Episode  1800 | Reward:  -2872.9 | Loss: 68.9721 | Epsilon: 0.726 | Buffer:  50000 | Speed: 5.8 ep/s
2026-04-30 12:38:57 | INFO    | Episode  1850 | Reward:  -3082.5 | Loss: 67.2032 | Epsilon: 0.718 | Buffer:  50000 | Speed: 5.8 ep/s
2026-04-30 12:39:06 | INFO    | Episode  1900 | Reward:  -3112.2 | Loss: 65.7327 | Epsilon: 0.711 | Buffer:  50000 | Speed: 5.8 ep/s
2026-04-30 12:39:16 | INFO    | Episode  1950 | Reward:  -2940.8 | Loss: 64.9733 | Epsilon: 0.703 | Buffer:  50000 | Speed: 5.8 ep/s
2026-04-30 12:39:25 | INFO    | Episode  2000 | Reward:  -2931.0 | Loss: 66.5308 | Epsilon: 0.695 | Buffer:  50000 | Speed: 5.8 ep/s
2026-04-30 12:39:27 | INFO    | EVAL @ 2000 | Reward=-6255.2 +/- 694.4 | IS=$680.26 | vs TWAP: -4683.0
2026-04-30 12:39:38 | INFO    | Episode  2050 | Reward:  -2916.5 | Loss: 63.6810 | Epsilon: 0.688 | Buffer:  50000 | Speed: 5.7 ep/s
2026-04-30 12:39:47 | INFO    | Episode  2100 | Reward:  -2891.1 | Loss: 61.0435 | Epsilon: 0.680 | Buffer:  50000 | Speed: 5.7 ep/s
2026-04-30 12:39:56 | INFO    | Episode  2150 | Reward:  -2922.8 | Loss: 61.3386 | Epsilon: 0.673 | Buffer:  50000 | Speed: 5.7 ep/s
2026-04-30 12:40:04 | INFO    | Episode  2200 | Reward:  -2871.3 | Loss: 59.3918 | Epsilon: 0.665 | Buffer:  50000 | Speed: 5.7 ep/s
2026-04-30 12:40:14 | INFO    | Episode  2250 | Reward:  -2849.5 | Loss: 59.3029 | Epsilon: 0.657 | Buffer:  50000 | Speed: 5.7 ep/s
2026-04-30 12:40:24 | INFO    | Episode  2300 | Reward:  -2941.9 | Loss: 57.6998 | Epsilon: 0.650 | Buffer:  50000 | Speed: 5.7 ep/s
2026-04-30 12:40:35 | INFO    | Episode  2350 | Reward:  -3157.9 | Loss: 56.7690 | Epsilon: 0.642 | Buffer:  50000 | Speed: 5.6 ep/s
2026-04-30 12:40:44 | INFO    | Episode  2400 | Reward:  -3114.2 | Loss: 58.5645 | Epsilon: 0.634 | Buffer:  50000 | Speed: 5.6 ep/s
2026-04-30 12:40:54 | INFO    | Episode  2450 | Reward:  -2899.0 | Loss: 57.0865 | Epsilon: 0.627 | Buffer:  50000 | Speed: 5.6 ep/s
2026-04-30 12:41:02 | INFO    | Episode  2500 | Reward:  -2914.5 | Loss: 54.3631 | Epsilon: 0.619 | Buffer:  50000 | Speed: 5.6 ep/s
2026-04-30 12:41:05 | INFO    | EVAL @ 2500 | Reward=-6255.2 +/- 694.4 | IS=$680.26 | vs TWAP: -4683.0
2026-04-30 12:41:14 | INFO    | Episode  2550 | Reward:  -3125.0 | Loss: 53.2313 | Epsilon: 0.612 | Buffer:  50000 | Speed: 5.6 ep/s
2026-04-30 12:41:23 | INFO    | Episode  2600 | Reward:  -3077.4 | Loss: 52.9141 | Epsilon: 0.604 | Buffer:  50000 | Speed: 5.6 ep/s
2026-04-30 12:41:32 | INFO    | Episode  2650 | Reward:  -3074.5 | Loss: 52.1580 | Epsilon: 0.596 | Buffer:  50000 | Speed: 5.6 ep/s
