2026-04-30 12:38:35 | INFO    | Episode  1750 | Reward:  -2261.3 | Loss: 50.7159 | Epsilon: 0.733 | Buffer:  50000 | Speed: 5.7 ep/s
2026-04-30 12:38:43 | INFO    | Episode  1800 | Reward:  -2360.4 | Loss: 49.2177 | Epsilon: 0.726 | Buffer:  50000 | Speed: 5.7 ep/s
2026-04-30 12:38:52 | INFO    | Episode  1850 | Reward:  -2369.5 | Loss: 50.5412 | Epsilon: 0.718 | Buffer:  50000 | Speed: 5.7 ep/s
2026-04-30 12:39:00 | INFO    | Episode  1900 | Reward:  -2413.0 | Loss: 50.6696 | Epsilon: 0.711 | Buffer:  50000 | Speed: 5.7 ep/s
2026-04-30 12:39:09 | INFO    | Episode  1950 | Reward:  -2341.3 | Loss: 48.1831 | Epsilon: 0.703 | Buffer:  50000 | Speed: 5.7 ep/s
2026-04-30 12:39:20 | INFO    | Episode  2000 | Reward:  -2267.7 | Loss: 46.5203 | Epsilon: 0.695 | Buffer:  50000 | Speed: 5.7 ep/s
2026-04-30 12:39:22 | INFO    | EVAL @ 2000 | Reward=-4747.7 +/- 925.5 | IS=$783.88 | vs TWAP: -3607.9
2026-04-30 12:39:31 | INFO    | Episode  2050 | Reward:  -2375.4 | Loss: 47.6828 | Epsilon: 0.688 | Buffer:  50000 | Speed: 5.6 ep/s
2026-04-30 12:39:41 | INFO    | Episode  2100 | Reward:  -2478.1 | Loss: 45.4204 | Epsilon: 0.680 | Buffer:  50000 | Speed: 5.6 ep/s
2026-04-30 12:39:50 | INFO    | Episode  2150 | Reward:  -2377.4 | Loss: 42.6895 | Epsilon: 0.673 | Buffer:  50000 | Speed: 5.6 ep/s
2026-04-30 12:39:58 | INFO    | Episode  2200 | Reward:  -2260.7 | Loss: 42.7396 | Epsilon: 0.665 | Buffer:  50000 | Speed: 5.6 ep/s
2026-04-30 12:40:07 | INFO    | Episode  2250 | Reward:  -2334.1 | Loss: 43.0625 | Epsilon: 0.657 | Buffer:  50000 | Speed: 5.6 ep/s
2026-04-30 12:40:16 | INFO    | Episode  2300 | Reward:  -2409.4 | Loss: 41.7824 | Epsilon: 0.650 | Buffer:  50000 | Speed: 5.6 ep/s
2026-04-30 12:40:28 | INFO    | Episode  2350 | Reward:  -2347.0 | Loss: 40.0118 | Epsilon: 0.642 | Buffer:  50000 | Speed: 5.6 ep/s
2026-04-30 12:40:38 | INFO    | Episode  2400 | Reward:  -2303.5 | Loss: 39.2300 | Epsilon: 0.634 | Buffer:  50000 | Speed: 5.6 ep/s
2026-04-30 12:40:48 | INFO    | Episode  2450 | Reward:  -2467.8 | Loss: 39.0685 | Epsilon: 0.627 | Buffer:  50000 | Speed: 5.6 ep/s
2026-04-30 12:40:57 | INFO    | Episode  2500 | Reward:  -2389.2 | Loss: 37.7193 | Epsilon: 0.619 | Buffer:  50000 | Speed: 5.6 ep/s
2026-04-30 12:40:59 | INFO    | EVAL @ 2500 | Reward=-4077.7 +/- 1030.4 | IS=$969.34 | vs TWAP: -2937.9
