episode,Tabular Q-Learning,Vanilla DQN,DQN + Replay
187,-500.0,-500.0,-492.92
188,-500.0,-500.0,-492.92
189,-500.0,-500.0,-492.92
190,-500.0,-500.0,-492.92
191,-500.0,-500.0,-492.92
192,-500.0,-500.0,-492.92
193,-500.0,-500.0,-492.92
194,-500.0,-500.0,-491.74
195,-500.0,-500.0,-491.74
196,-500.0,-500.0,-491.74
197,-500.0,-500.0,-491.74
198,-500.0,-500.0,-491.74
199,-500.0,-500.0,-491.4
200,-500.0,-500.0,-490.47
201,-500.0,-500.0,-489.01
202,-500.0,-500.0,-488.87
203,-500.0,-500.0,-488.87
204,-500.0,-500.0,-488.87
205,-500.0,-500.0,-488.87
206,-500.0,-500.0,-488.87
207,-500.0,-500.0,-488.33
208,-500.0,-500.0,-490.32
209,-500.0,-500.0,-490.32
210,-500.0,-500.0,-490.32
211,-500.0,-500.0,-489.18
212,-500.0,-500.0,-489.18
213,-500.0,-500.0,-488.17
214,-500.0,-500.0,-488.05
215,-500.0,-500.0,-487.51
216,-500.0,-500.0,-487.23
217,-500.0,-500.0,-487.23
218,-500.0,-500.0,-487.23
219,-500.0,-500.0,-487.23
220,-500.0,-500.0,-484.89
221,-500.0,-500.0,-483.63
222,-500.0,-500.0,-482.11
223,-500.0,-500.0,-482.11
224,-500.0,-500.0,-481.22
225,-500.0,-500.0,-479.92
226,-500.0,-500.0,-479.92
227,-500.0,-500.0,-478.66
228,-500.0,-500.0,-478.08
229,-500.0,-500.0,-476.93
230,-500.0,-500.0,-476.1
231,-500.0,-500.0,-476.1
232,-500.0,-500.0,-476.1
233,-500.0,-500.0,-476.1
234,-500.0,-500.0,-476.1
235,-500.0,-500.0,-476.1
236,-500.0,-500.0,-476.1
237,-500.0,-500.0,-476.1
238,-500.0,-500.0,-476.1
239,-500.0,-500.0,-476.1
240,-500.0,-500.0,-476.1
241,-500.0,-500.0,-476.1
242,-500.0,-500.0,-476.1
243,-500.0,-500.0,-476.1
244,-500.0,-500.0,-476.1
245,-500.0,-500.0,-477.55
246,-500.0,-500.0,-477.55
247,-500.0,-500.0,-477.55
248,-500.0,-500.0,-477.55
249,-500.0,-500.0,-477.55
250,-500.0,-500.0,-477.55
251,-500.0,-500.0,-477.55
252,-500.0,-500.0,-477.55
253,-500.0,-500.0,-477.55
254,-500.0,-500.0,-477.55
255,-500.0,-500.0,-477.55
256,-500.0,-500.0,-477.55
257,-500.0,-500.0,-477.55
258,-500.0,-500.0,-477.55
259,-500.0,-500.0,-477.55
260,-500.0,-500.0,-477.55
261,-500.0,-500.0,-477.55
262,-500.0,-500.0,-477.55
263,-500.0,-500.0,-477.55
264,-500.0,-500.0,-477.55
265,-500.0,-500.0,-477.55
266,-500.0,-500.0,-477.55
267,-500.0,-500.0,-477.55
268,-500.0,-500.0,-477.55
269,-500.0,-500.0,-477.55
270,-500.0,-500.0,-477.55
271,-500.0,-500.0,-477.55
272,-500.0,-500.0,-477.55
273,-500.0,-500.0,-477.55
274,-500.0,-500.0,-477.55
275,-500.0,-500.0,-477.55
276,-500.0,-500.0,-477.55
277,-500.0,-500.0,-477.55
278,-500.0,-500.0,-477.55
279,-500.0,-500.0,-477.55
280,-500.0,-500.0,-477.55
281,-500.0,-500.0,-477.55
282,-500.0,-500.0,-477.55
283,-500.0,-500.0,-478.36
284,-500.0,-500.0,-478.36
