2026-04-30 13:22:57 | INFO    | Episode  1750 | Reward:  -2249.0 | Loss: 53.0077 | Epsilon: 0.733 | Buffer:  50000 | Speed: 8.1 ep/s
2026-04-30 13:23:03 | INFO    | Episode  1800 | Reward:  -2279.5 | Loss: 50.1732 | Epsilon: 0.726 | Buffer:  50000 | Speed: 8.2 ep/s
2026-04-30 13:23:09 | INFO    | Episode  1850 | Reward:  -2318.4 | Loss: 48.2330 | Epsilon: 0.718 | Buffer:  50000 | Speed: 8.1 ep/s
2026-04-30 13:23:16 | INFO    | Episode  1900 | Reward:  -2317.5 | Loss: 47.0825 | Epsilon: 0.711 | Buffer:  50000 | Speed: 8.1 ep/s
2026-04-30 13:23:22 | INFO    | Episode  1950 | Reward:  -2253.1 | Loss: 45.4548 | Epsilon: 0.703 | Buffer:  50000 | Speed: 8.1 ep/s
2026-04-30 13:23:29 | INFO    | Episode  2000 | Reward:  -2268.9 | Loss: 44.5047 | Epsilon: 0.695 | Buffer:  50000 | Speed: 8.1 ep/s
2026-04-30 13:23:31 | INFO    | EVAL @ 2000 | Reward=-3896.5 +/- 798.0 | IS=$618.60 | vs TWAP: -2898.3
2026-04-30 13:23:37 | INFO    | Episode  2050 | Reward:  -2297.6 | Loss: 43.6110 | Epsilon: 0.688 | Buffer:  50000 | Speed: 8.0 ep/s
2026-04-30 13:23:43 | INFO    | Episode  2100 | Reward:  -2310.1 | Loss: 44.0938 | Epsilon: 0.680 | Buffer:  50000 | Speed: 8.0 ep/s
2026-04-30 13:23:50 | INFO    | Episode  2150 | Reward:  -2293.7 | Loss: 43.7834 | Epsilon: 0.673 | Buffer:  50000 | Speed: 8.0 ep/s
2026-04-30 13:23:57 | INFO    | Episode  2200 | Reward:  -2210.6 | Loss: 41.2516 | Epsilon: 0.665 | Buffer:  50000 | Speed: 8.0 ep/s
2026-04-30 13:24:03 | INFO    | Episode  2250 | Reward:  -2309.9 | Loss: 39.5034 | Epsilon: 0.657 | Buffer:  50000 | Speed: 8.0 ep/s
2026-04-30 13:24:10 | INFO    | Episode  2300 | Reward:  -2352.5 | Loss: 37.9589 | Epsilon: 0.650 | Buffer:  50000 | Speed: 8.0 ep/s
2026-04-30 13:24:17 | INFO    | Episode  2350 | Reward:  -2331.2 | Loss: 37.8841 | Epsilon: 0.642 | Buffer:  50000 | Speed: 8.0 ep/s
2026-04-30 13:24:25 | INFO    | Episode  2400 | Reward:  -2389.3 | Loss: 38.3835 | Epsilon: 0.634 | Buffer:  50000 | Speed: 7.9 ep/s
2026-04-30 13:24:32 | INFO    | Episode  2450 | Reward:  -2311.2 | Loss: 37.6772 | Epsilon: 0.627 | Buffer:  50000 | Speed: 7.9 ep/s
2026-04-30 13:24:39 | INFO    | Episode  2500 | Reward:  -2274.4 | Loss: 36.4570 | Epsilon: 0.619 | Buffer:  50000 | Speed: 7.9 ep/s
2026-04-30 13:24:41 | INFO    | EVAL @ 2500 | Reward=-3771.2 +/- 812.1 | IS=$553.50 | vs TWAP: -2773.1
2026-04-30 13:24:47 | INFO    | Episode  2550 | Reward:  -2279.2 | Loss: 34.2478 | Epsilon: 0.612 | Buffer:  50000 | Speed: 7.8 ep/s
2026-04-30 13:24:54 | INFO    | Episode  2600 | Reward:  -2222.9 | Loss: 33.1006 | Epsilon: 0.604 | Buffer:  50000 | Speed: 7.8 ep/s
2026-04-30 13:25:00 | INFO    | Episode  2650 | Reward:  -2305.9 | Loss: 32.5531 | Epsilon: 0.596 | Buffer:  50000 | Speed: 7.8 ep/s
2026-04-30 13:25:07 | INFO    | Episode  2700 | Reward:  -2385.1 | Loss: 31.3234 | Epsilon: 0.589 | Buffer:  50000 | Speed: 7.8 ep/s
