label,step,mean_inventory,std_inventory,mean_mid,std_mid,n_episodes
Full features,0,12000.0,0.0,586.0226000000001,0.09241774721340004,250
Full features,1,11316.48,456.93983148769155,586.0070800000001,0.0932677521976387,250
Full features,2,10644.416,737.3781248070769,585.9939999999999,0.09935290634903539,250
Full features,3,10010.184,962.8488636042518,585.9829399999996,0.09964264348159957,250
Full features,4,9433.292,1034.1487043631591,585.9736799999995,0.09980610001397985,250
Full features,5,8947.556,1103.520775909543,585.9616199999998,0.10197193535478387,250
Full features,6,8483.848,1108.0530496758715,585.9494400000004,0.10543000711372008,250
Full features,7,8051.24,1077.1286749502124,585.94164,0.10939063214005003,250
Full features,8,7656.18,1074.9451835326306,585.93152,0.11241392084613269,250
Full features,9,7265.94,1120.7077622645436,585.9254799999997,0.11569429372272302,250
Full features,10,6918.02,1157.9010819582124,585.91636,0.11968270718863068,250
Full features,11,6633.756,1177.0747098056263,585.9060799999999,0.12497853255659563,250
Full features,12,6344.824,1188.6272860001147,585.8983999999997,0.12674478293010688,250
Full features,13,6052.432,1206.3433629676088,585.89092,0.13036546168368068,250
Full features,14,5779.94,1220.2889429966986,585.8855599999998,0.1328302917259458,250
Full features,15,5523.004,1205.4307561963071,585.8818199999997,0.13530775144093,250
Full features,16,5267.824,1233.2179795251127,585.8773400000001,0.1365592340341779,250
Full features,17,5002.328,1210.1603812784488,585.8733199999998,0.13809553794384338,250
Full features,18,4755.22,1197.982181670495,585.8683199999999,0.13995419822213814,250
Full features,19,4521.22,1209.0619783948214,585.86562,0.14183481801024383,250
Full features,20,4254.86,1170.3873753591158,585.8582000000004,0.14110761850445672,250
Full features,21,3986.08,1133.0311670911792,585.8561600000003,0.14577192596655947,250
Full features,22,3735.248,1083.4022976235563,585.8482399999999,0.1450093183212688,250
Full features,23,3526.032,1065.892054091783,585.8437799999998,0.14808987676408006,250
Full features,24,3317.588,1040.561626361457,585.8425199999996,0.15019137658334067,250
Full features,25,3109.456,1029.3179062194538,585.8376000000001,0.1524586501317651,250
Full features,26,2908.904,1010.5893403277119,585.8313600000004,0.15405307656778014,250
Full features,27,2736.184,994.4786644991436,585.8267999999995,0.15677550829131176,250
Full features,28,2559.704,963.9148055632304,585.8230000000001,0.15576777587165014,250
Full features,29,2377.128,949.8912693650785,585.8216399999999,0.1537839731571529,250
Full features,30,2183.336,903.4191536070063,585.81456,0.15477663389542629,250
Full features,31,1999.712,875.2311037983055,585.81484,0.15769899936270906,250
Full features,32,1832.576,826.5982556381305,585.81126,0.16214225975976412,250
Full features,33,1700.456,778.5743073490161,585.8042600000006,0.16478699099139557,250
Full features,34,1549.928,732.6955348683381,585.8015199999996,0.1630297199899452,250
Full features,35,1409.712,680.8922360080192,585.7989999999994,0.16199567895471903,250
Full features,36,1272.34,627.1440284336607,585.7937599999998,0.16182293533365227,250
Full features,37,1145.868,571.704933139465,585.79336,0.16341881898974014,250
Full features,38,1041.024,539.9644057009684,585.7910800000003,0.16931282762980113,250
Full features,39,930.132,497.3919365812036,585.7893000000001,0.16782910951321955,250
Full features,40,833.1,433.6341707015258,585.7861599999999,0.16877397429699098,250
Full features,41,760.044,384.293359380565,585.7845199999997,0.1726486883819209,250
Full features,42,690.132,349.09005510899334,585.7837999999999,0.17007986359355007,250
Full features,43,615.516,301.34595690667555,585.7817799999996,0.17237961480407005,250
Full features,44,562.928,277.3010112062342,585.78042,0.17282107394644028,250
Full features,45,493.652,241.83323778174088,585.77966,0.17476322382011678,250
Full features,46,436.596,223.26011910773482,585.7805199999998,0.17758640038021026,250
Full features,47,379.936,191.79721557937177,585.77638,0.17667200004527947,250
Full features,48,338.868,178.14026657665022,585.7756399999997,0.17874056730356444,250
Full features,49,300.64,162.20307765267586,585.77518,0.17929659115554922,250
Full features,50,0.0,0.0,585.7666400000004,0.17968614415140532,250
No spread_norm,0,12000.0,0.0,586.0226000000001,0.09241774721340004,250
No spread_norm,1,10788.48,378.3861646519334,585.9926999999999,0.09234830805163403,250
No spread_norm,2,9596.524,576.0235563099828,585.9649800000001,0.10198382028537725,250
No spread_norm,3,8612.108,684.6470742915652,585.9302399999999,0.11343078241817751,250
No spread_norm,4,7742.728,752.7615864375651,585.9024400000003,0.12363028108032818,250
No spread_norm,5,6981.86,818.9709350154011,585.87148,0.1304668908190908,250
No spread_norm,6,6248.972,910.2111684746569,585.8422200000001,0.14583336929523613,250
No spread_norm,7,5556.108,952.8054619574763,585.8131399999999,0.15008277849240007,250
No spread_norm,8,4910.768,944.9417686693712,585.78378,0.16371747493777633,250
No spread_norm,9,4303.36,939.333166879569,585.7568800000003,0.16890312489708081,250
No spread_norm,10,3729.476,900.326399381913,585.7328799999996,0.17392270007103822,250
No spread_norm,11,3202.188,867.1376226735871,585.7128799999998,0.18494135719194973,250
No spread_norm,12,2752.2,834.5804742503864,585.6917199999998,0.18976680847819777,250
No spread_norm,13,2314.316,778.4038335876821,585.6749799999999,0.19118812620034698,250
No spread_norm,14,1924.036,710.3972654114035,585.6603400000002,0.20092084112903513,250
No spread_norm,15,1558.968,623.6867731289481,585.65248,0.20562648078494455,250
No spread_norm,16,1261.8,532.8151799639346,585.6365199999996,0.20694948562391396,250
No spread_norm,17,996.012,447.8444237187731,585.6263200000002,0.2099377469632379,250
No spread_norm,18,785.272,375.69738622460494,585.6217000000003,0.21508000836897537,250
No spread_norm,19,613.424,302.80400959036183,585.6170200000003,0.21885524805222206,250
No spread_norm,20,477.164,244.68920921037767,585.6091399999998,0.22257574081647094,250
No spread_norm,21,364.732,201.2159938374681,585.6058400000001,0.22406180932947753,250
No spread_norm,22,270.796,169.42538884122416,585.6054200000002,0.2288901998775794,250
No spread_norm,23,197.292,137.14473645021891,585.6039799999999,0.22691773751736874,250
No spread_norm,24,140.2,113.49639641856481,585.6003600000003,0.2292986489275453,250
No spread_norm,25,94.496,86.7517030610927,585.5992800000001,0.2301175386623081,250
No spread_norm,26,61.624,62.244313989311486,585.5975199999998,0.2307510554688724,250
No spread_norm,27,39.976,46.232969015627795,585.59722,0.22986555113805843,250
No spread_norm,28,24.592,29.914169485379336,585.59708,0.22922537730365103,250
