feature,strategy,n_episodes,baseline_mean_is,ablated_mean_is,delta_mean_is,baseline_mean_reward,ablated_mean_reward,delta_mean_reward,action_agreement,mean_action_delta
spread_norm,No spread_norm,250,2319.820799999956,3303.5512400000357,983.7304400000799,-809.7198298441454,-1000.3100673990235,-190.59023755487817,0.0632,10.517999999999999
relative_depth,No relative_depth,250,2319.820799999956,2574.5298799999505,254.70907999999463,-809.7198298441454,-1015.8269855577755,-206.10715571363016,0.24576000000000003,-2.04744
book_imbalance,No book_imbalance,250,2319.820799999956,2533.046679999955,213.22587999999905,-809.7198298441454,-864.783764330878,-55.06393448673259,0.29696000000000006,0.29208000000000034
recent_impact_proxy,No recent_impact_proxy,250,2319.820799999956,2354.0720799998976,34.251279999941744,-809.7198298441454,-812.9062249760677,-3.1863951319223816,0.5301600000000001,0.10760000000000014
