label,step,mean_inventory,std_inventory,mean_mid,std_mid,n_episodes
Full features,0,12000.0,0.0,586.0226000000001,0.09241774721340004,250
Full features,1,11226.24,1171.9724665707809,586.0121200000001,0.09684681512574084,250
Full features,2,10612.412,1521.4397951466901,585.9971800000001,0.1064985802722286,250
Full features,3,10058.7,1748.9167853274196,585.9799600000001,0.1159404950826137,250
Full features,4,9312.524,1775.781480200761,585.9627,0.11783891547362471,250
Full features,5,8754.956,1776.560513482161,585.9466000000003,0.12084303869069259,250
Full features,6,8283.016,1725.1721953892022,585.9316000000003,0.12795796184685126,250
Full features,7,7871.544,1666.8423944884532,585.9216600000002,0.1317032436958187,250
Full features,8,7491.816,1590.1368916366914,585.9089399999995,0.13417591587166589,250
Full features,9,7203.676,1561.7847108433355,585.9004,0.14159604514251464,250
Full features,10,6883.2,1513.5126296136411,585.8893400000002,0.14729583972400787,250
Full features,11,6558.216,1420.5758330142037,585.87516,0.14975438023644141,250
Full features,12,6240.436,1311.5798130132991,585.8686599999996,0.15074251026170316,250
Full features,13,5960.336,1194.1512664248198,585.8610600000002,0.14827196768101422,250
Full features,14,5718.572,1119.663176502648,585.8557599999999,0.1556715208379467,250
Full features,15,5442.012,1061.5866181598185,585.8492800000002,0.15753247792121905,250
Full features,16,5183.6,1055.3721353153117,585.8415399999999,0.15998665069311654,250
Full features,17,4935.192,1052.3661773052195,585.83344,0.16061060488024853,250
Full features,18,4688.756,1009.7167763605793,585.8297799999999,0.16001453558974102,250
Full features,19,4431.208,973.878754638379,585.8231399999996,0.15988821219839677,250
Full features,20,4184.892,946.1659475673389,585.8172200000001,0.16201719538369916,250
Full features,21,3974.616,919.9530534456638,585.8103600000004,0.1646319240001747,250
Full features,22,3759.572,862.5125186430629,585.8079999999999,0.16751298457134847,250
Full features,23,3563.984,817.576281299794,585.80502,0.16887835740555768,250
Full features,24,3362.616,741.854441615065,585.8016399999998,0.1711388629154665,250
Full features,25,3198.668,655.1477801046112,585.7959599999999,0.17359861289768136,250
Full features,26,3048.376,552.5817755083857,585.7909600000004,0.16964397543089846,250
Full features,27,2918.108,464.7662297714839,585.7870200000003,0.17316702803940445,250
Full features,28,2805.76,391.06033089537476,585.7832599999999,0.17656294175165693,250
Full features,29,2700.58,343.6655170365512,585.7824199999997,0.1772953569612002,250
Full features,30,2598.28,321.75344846636835,585.7769399999999,0.17904618510317472,250
Full features,31,2515.452,302.9505037064636,585.7737199999996,0.18261807577564765,250
Full features,32,2430.232,272.84255198923796,585.77142,0.18548876947136247,250
Full features,33,2355.396,270.45987351916,585.7704,0.18646511738123914,250
Full features,34,2265.312,262.04904627950845,585.7690800000001,0.18287414688796486,250
Full features,35,2199.044,271.74694490278995,585.7654599999998,0.18019846947185908,250
Full features,36,2138.808,263.2845972251321,585.7614599999997,0.18179815290590481,250
Full features,37,2066.464,263.3254881396786,585.7630800000001,0.18685639833840292,250
Full features,38,1994.808,270.5129999390047,585.7600000000002,0.18820255046093295,250
Full features,39,1926.624,271.7193306042101,585.7601000000001,0.18764511717601157,250
Full features,40,1843.852,285.42844654308726,585.7588999999999,0.188212353473411,250
Full features,41,1761.472,308.8949744103973,585.7587400000001,0.1875326968824392,250
Full features,42,1691.46,318.408229165014,585.7570599999998,0.18910488200996145,250
Full features,43,1615.552,344.1680509518571,585.7568799999999,0.18971785788375162,250
Full features,44,1537.476,388.97189798750253,585.7551599999997,0.18957946724263017,250
Full features,45,1410.616,421.3128772586948,585.7560400000006,0.19077504658628539,250
Full features,46,1259.064,440.4877250321512,585.7524400000002,0.19383561695415713,250
Full features,47,1117.448,454.28270415678384,585.7503399999997,0.19122757227973342,250
Full features,48,968.512,457.62532475377714,585.7479,0.19193511924605763,250
Full features,49,825.28,455.31220234032827,585.7454199999999,0.19660092471807103,250
Full features,50,0.0,0.0,585.7294,0.1920532217902122,250
No spread_norm,0,12000.0,0.0,586.0226000000001,0.09241774721340004,250
No spread_norm,1,9876.48,1105.2748118002132,585.9731600000002,0.10047195827692565,250
