feature,strategy,n_episodes,baseline_mean_is,ablated_mean_is,delta_mean_is,baseline_mean_reward,ablated_mean_reward,delta_mean_reward,action_agreement,mean_action_delta
spread_norm,No spread_norm,250,2590.2357199997755,3383.986199999973,793.7504800001975,-882.5514851093664,-1053.4743002556888,-170.92281514632248,0.057440000000000005,7.835279999999999
relative_depth,No relative_depth,250,2590.2357199997755,2847.547919999834,257.3122000000585,-882.5514851093664,-1072.1957914349796,-189.64430632561323,0.29472000000000004,-0.9837599999999997
book_imbalance,No book_imbalance,250,2590.2357199997755,2773.5066399999446,183.2709200001691,-882.5514851093664,-934.5008357356046,-51.94935062623824,0.43736,-0.13391999999999982
recent_impact_proxy,No recent_impact_proxy,250,2590.2357199997755,2549.8253999997937,-40.410319999981766,-882.5514851093664,-881.3829348362135,1.1685502731528459,0.69496,-0.1652
recent_return,No recent_return,250,2590.2357199997755,2582.8852399998977,-7.350479999877734,-882.5514851093664,-880.4395659861572,2.1119191232091907,0.7698400000000001,-0.10128000000000004
